Tijdstempel	Age	Gender	Country of Origin	Bachelor's University	Name of Bachelor's degree(s)	Confidence in Statistical Knowledge	Coding Languages	Hobbies and w/e	Other remarks for a word cloud
31-8-2020 14:20:53	25	Male	Netherlands	Hogeschool Utrecht	Life Sciences	4	R (w/ Rstudio)	Hiking Mountaineering (rock/ice) climbing Airsoft	
31-8-2020 14:22:10	21	Female	Netherlands	Utrecht University	Information Sciences	4	R (w/ Rstudio), C#	Water polo, board games & craft beer	I'm excited to meet everyone in person!
31-8-2020 14:22:11	24	Female	Netherlands	Technische Universiteit Twente	Civil Engineering	3	Python, Matlab	Playing the french horn	
31-8-2020 14:22:33	23	Male	Netherlands	Utrecht University	Informatiekunde	2	Python, R (w/ Rstudio), C#	Gaming, Rowing, tinkering	ADS, Fun, idk what to put here
31-8-2020 14:23:01	25	Male	Cyprus	Universiteit Maastricht	Data Science and Knowledge Engineering	3	Python, Java, JavaScript 	Photography	
31-8-2020 14:23:04	21	Male	Netherlands	Utrecht University	Biology	3	Python, R (w/ Rstudio)	Fitness Soccer Kickboxing	
31-8-2020 14:23:13	23	Male	Netherlands	The Hague University of Applied Sciences	International Business and Management Studies	4	Python, R (w/ Rstudio)	Gym	Unfortunately peanut butter
31-8-2020 14:23:23	38	Male	Iran		Electronics	4	Python, R (w/ Rstudio)		
31-8-2020 14:23:54	21	Male	Thailand	University College Utrecht	Psychology/Neuroscience in Liberal Arts & Sciences	3	Python, R (w/ Rstudio)	Dota2, chess, volleyball	
31-8-2020 15:17:38	22	Male	Netherlands	University College Roosevelt 	Liberal Arts & Science, majored in Linguistics, Neuroscience & Philosophy	3	Python, R (w/ Rstudio)	Hiking and walks, cooking, field hockey, streaming on Twitch	Cyberphobia
31-8-2020 14:25:01	23	Male	Netherlands	Utrecht University	Information Science	2	Python, R (w/ Rstudio)	Enjoying the nature, chilling	Hello
31-8-2020 14:25:16	23	Male	Netherlands	Technische Universiteit Delft	civil engineering	3	Python, R (w/ Rstudio)		
31-8-2020 14:25:50	25	Male	Germany	Maastricht University	International Business	3		Running , football, guitar	
31-8-2020 14:27:02	28	Male	Netherlands	Leiden University	Astronomy	3	Python	Volleyball, fitness, fantasy books	Free text fields are fun and exciting
31-8-2020 14:27:29	24	Female	Netherlands	Utrecht University	Computer Science	3	Python, R (w/ Rstudio), C#	Bouldering	
